http://www.watchfinder.co.uk/Rolex/Daytona/116500%20LN/29594/item/215900,Rolex,Daytona,Daytona,116500 LN,GBP,48995.00,48995.00,"Retail Price: £11,600",,"
Year
 2020
","
Box
Yes
","

Papers


Yes
","
Product code
215900
","

Movement


Automatic
","
Case size
40 MM
","
Case material
Steel
","
Bracelet material
Steel (Oyster)
","
Dial type
White
","
Water resistance
100 metres
","
                            The Rolex Daytona, named after the race circuit in Florida that hosts the Rolex twenty-four hour race, epitomises the ultimate driver’s watch. The dial, unburdened by a date window, is clear and easy to read. The tachymeter offers quick speed calculations, while the shape is instantly recognisable and supremely comfortable. Its smaller size and smart design makes it a versatile watch capable of working well with both casual jeans and a formal suit. Here available in steel with a stunning Cerachrom bezel, this watch represents the Daytona's first major upgrade in 16 years, but it sticks closely to the gorgeous retro design of the original.
                            
", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Omega/Seamaster%20120m/2501.21.00/919/item/217129,Omega,Seamaster 120m,Seamaster 120m,2501.21.00,GBP,1950.00,1950.00,Retail Price: Discontinued,,"
Year
 1999
","
Box
Yes
","

Papers


Yes
","
Product code
217129
","

Movement


Automatic
","
Case size
35 MM
","
Case material
Steel
","
Bracelet material
Steel
","
Dial type
White Baton
","
Water resistance
120 metres
","This Omega has undergone a thorough inspection of accuracy, functionality and condition at our Omega certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Omega/Seamaster%20120m/2501.21.00/919/item/214539,Omega,Seamaster 120m,Seamaster 120m,2501.21.00,GBP,1650.00,1650.00,Retail Price: Discontinued,,"
Year
Approx.  1999
","
Box
No
","

Papers


No
","
Product code
214539
","

Movement


Automatic
","
Case size
35 MM
","
Case material
Steel
","
Bracelet material
Steel
","
Dial type
White Baton
","
Water resistance
120 metres
","This Omega has undergone a thorough inspection of accuracy, functionality and condition at our Omega certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Cartier/Tank%20Solo/W1018855/3737/item/214304,Cartier,Tank Solo,Tank Solo,W1018855,GBP,3450.00,3450.00,Retail Price: Discontinued," Black
","
Year
Approx.  2010
","
Box
No
","

Papers


No
","
Product code
214304
","

Movement


Quartz
","
Case size
27 MM
","
Case material
Yellow Gold
","
Bracelet material
Crocodile - Black
","
Dial type
Silver Roman Numeral
","
Water resistance
30 metres
","This Cartier has undergone a thorough inspection of accuracy, functionality and condition at our Cartier certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Panerai/Luminor%20Marina/PAM00240/6301/item/215418,Panerai,Luminor Marina,Luminor Marina,PAM00240,GBP,4650.00,4650.00,Retail Price: Discontinued," Brown 
","
Year
Approx.  2011
","
Box
No
","

Papers


No
","
Product code
215418
","

Movement


Automatic
","
Case size
44 MM
","
Case material
Titanium
","
Bracelet material
Crocodile - Brown 
","
Dial type
Brown Baton
","
Water resistance
300 metres
","This Panerai has undergone a thorough inspection of accuracy, functionality and condition at our Panerai certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Cartier/Tank%20Francaise/W51006Q4/8041/item/214194,Cartier,Tank Francaise,Tank Francaise,W51006Q4,GBP,2750.00,2750.00,Retail Price: Discontinued,,"
Year
Approx.  2012
","
Box
No
","

Papers


No
","
Product code
214194
","

Movement


Quartz
","
Case size
25 MM
","
Case material
Steel & Yellow Gold
","
Bracelet material
Steel & Yellow Gold
","
Dial type
Silver Roman Numeral
","
Water resistance
30 metres
","This Cartier has undergone a thorough inspection of accuracy, functionality and condition at our Cartier certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Tag%20Heuer/Aquaracer/CAF5010.BA0815/9073/item/203895,Tag Heuer,Aquaracer,Aquaracer,CAF5010.BA0815,GBP,1450.00,1450.00,Retail Price: Discontinued,,"
Year
 2011
","
Box
Yes
","

Papers


Yes
","
Product code
203895
","

Movement


Automatic
","
Case size
43 MM
","
Case material
Steel
","
Bracelet material
Steel
","
Dial type
Black Baton
","
Water resistance
300 metres
","This Tag Heuer has undergone a thorough inspection of accuracy, functionality and condition at our Tag Heuer certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Audemars%20Piguet/Royal%20Oak%20Offshore/26020ST.OO.D091CR.01/9693/item/194083,Audemars Piguet,Royal Oak Offshore,Royal Oak Offshore,26020ST.OO.D091CR.01,GBP,22950.00,22950.00,Retail Price: Discontinued," Brown 
","
Year
Approx.  2016
","
Box
No
","

Papers


No
","
Product code
194083
","

Movement


Automatic
","
Case size
42 MM
","
Case material
Steel
","
Bracelet material
Leather - Brown 
","
Dial type
Silver Arabic
","
Water resistance
100 metres
","
                            The Royal Oak is one of the most iconic watches in history – a product of the same genius designer, Gerald Genta, who was responsible for the likes of Patek Philippe's Nautilus and IWC's Ingenieur. The story is a dramatic one – Audemars Piguet had been lingering on the edge of collapse since the Depression, but the unprecedentedly bold lines, steel case and luxury pricing turned Genta's creation into an enormous success that saved the prestigious company. The Offshore collection, meanwhile, was designed by Emmanuel Gueit in 1993, and represents the next step in the evolution of the brand's signature creation. While sticking to the classic elements of the original Royal Oak, the Offshore takes its bold nature even further.
                            
", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Breitling/SuperOcean%20Heritage/A13320/13012/item/201312,Breitling,SuperOcean Heritage,SuperOcean Heritage,A13320,GBP,3450.00,3450.00,Retail Price: Discontinued," Blue (Ocean Racer)
","
Year
Approx.  2009
","
Box
Yes
","

Papers


No
","
Product code
201312
","

Movement


Automatic
","
Case size
46 MM
","
Case material
Steel
","
Bracelet material
Rubber - Blue (Ocean Racer)
","
Dial type
Blue Baton
","
Water resistance
200 metres
","This Breitling has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. Our watches have a 24-month warranty for your peace of mind, in conjunction with any remaining manufacturer’s warranty from new or from service.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Breitling/Montbrillant/A41370/13170/item/199958,Breitling,Montbrillant,Montbrillant,A41370,GBP,3950.00,3950.00,Retail Price: Discontinued," Black 
","
Year
 2012
","
Box
No
","

Papers


Yes
","
Product code
199958
","

Movement


Automatic
","
Case size
38 MM
","
Case material
Steel
","
Bracelet material
Rubber - Black 
","
Dial type
Silver Baton
","
Water resistance
100 metres
","This Breitling has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. Our watches have a 24-month warranty for your peace of mind, in conjunction with any remaining manufacturer’s warranty from new or from service.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Raymond%20Weil/Freelancer/2710-STP-20001/18241/item/192205,Raymond Weil,Freelancer,Freelancer,2710-STP-20001,GBP,1075.00,1075.00,Retail Price: Discontinued,,"
Year
 2015
","
Box
Yes
","

Papers


Yes
","
Product code
192205
","

Movement


Automatic
","
Case size
42 MM
","
Case material
Steel & Yellow Gold (Plated)
","
Bracelet material
Steel & Yellow Gold (Plated)
","
Dial type
Black Baton
","
Water resistance
100 metres
","This Raymond Weil has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Breitling/Navitimer/A41322/23399/item/214274,Breitling,Navitimer,Navitimer,A41322,GBP,3250.00,3250.00,Retail Price: Discontinued,,"
Year
Approx.  2002
","
Box
No
","

Papers


No
","
Product code
214274
","

Movement


Automatic
","
Case size
40 MM
","
Case material
Steel
","
Bracelet material
Steel (Navitimer)
","
Dial type
Silver Baton
","
Water resistance
30 metres
","This Breitling has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. Our watches have a 24-month warranty for your peace of mind, in conjunction with any remaining manufacturer’s warranty from new or from service.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Cartier/Santos%20100/W20077X7/25163/item/213202,Cartier,Santos 100,Santos 100,W20077X7,GBP,4250.00,4250.00,Retail Price: Discontinued," Brown 
","
Year
Approx.  2016
","
Box
No
","

Papers


No
","
Product code
213202
","

Movement


Automatic
","
Case size
38 MM
","
Case material
Steel & Yellow Gold
","
Bracelet material
Crocodile - Brown 
","
Dial type
Silver Roman Numeral
","
Water resistance
100 metres
","This Cartier has undergone a thorough inspection of accuracy, functionality and condition at our Cartier certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Breitling/Cockpit%20B50/VB5010/26338/item/195039,Breitling,Cockpit B50,Cockpit B50,VB5010,GBP,4500.00,4500.00,"Retail Price: £6,460"," Black 
","
Year
 2016
","
Box
Yes
","

Papers


Yes
","
Product code
195039
","

Movement


Quartz
","
Case size
46 MM
","
Case material
Titanium Black DLC
","
Bracelet material
Rubber - Black 
","
Dial type
Black
","
Water resistance
100 metres
","This Breitling has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. Our watches have a 24-month warranty for your peace of mind, in conjunction with any remaining manufacturer’s warranty from new or from service.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Omega/Speedmaster%20Moonwatch/311.30.42.30.01.004/26399/item/211295,Omega,Speedmaster Moonwatch,Speedmaster Moonwatch,311.30.42.30.01.004,GBP,13230.00,13230.00,Retail Price: Discontinued,,"
Year
Approx.  2006
","
Box
No
","

Papers


No
","
Product code
211295
","

Movement


Manual
","
Case size
42 MM
","
Case material
Steel
","
Bracelet material
Steel
","
Dial type
Black
","
Water resistance
50 metres
","
                            The Speedmaster is so closely associated with NASA and the Moon landings these days that it's easy to forget that when it was first released in the 1950s, it was not remotely intended for space travel. Rather, as the name suggests, the Speedy was designed as a sports watch for timing things like motor racing. Certain models, both vintage and modern, have re-established that link somewhat, including a number of “racing” editions with checkered patterns on the dials resembling finish flags. This wonderful example made a big splash at Baselworld 2013 and has been nicknamed “Tintin”, because of its red and white pattern, directly inspired by the spaceship used by the comic book hero to go to the Moon.
                            
", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Zenith/Captain/51.2112.400.01/C498/28102/item/199742,Zenith,Captain,Captain,51.2112.400.01/C498,GBP,3950.00,3950.00,Retail Price: Discontinued," Brown
","
Year
 2014
","
Box
No
","

Papers


Yes
","
Product code
199742
","

Movement


Automatic
","
Case size
42 MM
","
Case material
Steel & Rose Gold
","
Bracelet material
Leather Alligator Grain - Brown
","
Dial type
Silver Baton
","
Water resistance
50 metres
","This Zenith has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Audemars%20Piguet/Royal%20Oak/25979ST.0.0002CA.01/28543/item/198782,Audemars Piguet,Royal Oak,Royal Oak,25979ST.0.0002CA.01,GBP,37995.00,37995.00,Retail Price: Discontinued," Black 
","
Year
 2007
","
Box
Yes
","

Papers


Yes
","
Product code
198782
","

Movement


Automatic
","
Case size
39 MM
","
Case material
Steel
","
Bracelet material
Rubber - Black 
","
Dial type
Black Arabic
","
Water resistance
50 metres
","
                            The Alinghi team, under the colours of the Swiss yacht club, made history in 2003 when it challenged for and won the ultra-prestigious America's Cup in Aukland (a.k.a. “City of Sails”) on its first attempt. Audemars Piguet, which had sponsored the previous Swiss team Be Happy, also got behind Alinghi, releasing a number of very special limited edition watches, including this marvellous and highly collectible Royal Oak, in honour of the event. The piece also commemorates the 30th anniversary of the legendary Royal Oak itself, one of the most celebrated watch designs to emerge in the second half of the 20th century.
                            
", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Hublot/Classic%20Fusion/521.CM.1771.RX/29306/item/197719,Hublot,Classic Fusion,Classic Fusion,521.CM.1771.RX,GBP,8350.00,8350.00,Retail Price: Discontinued," Black 
","
Year
 2018
","
Box
Yes
","

Papers


Yes
","
Product code
197719
","

Movement


Automatic
","
Case size
45 MM
","
Case material
Ceramic - Black
","
Bracelet material
Rubber - Black 
","
Dial type
Black Baton
","
Water resistance
50 metres
","This Hublot has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Bremont/ALT1/ALT1-B/30898/item/212406,Bremont,ALT1,ALT1,ALT1-B,GBP,3750.00,3750.00,Retail Price: Discontinued," Black 
","
Year
 2014
","
Box
Yes
","

Papers


Yes
","
Product code
212406
","

Movement


Automatic
","
Case size
43 MM
","
Case material
Steel - Black PVD 
","
Bracelet material
Leather - Black 
","
Dial type
Black Arabic
","
Water resistance
100 metres
","This Bremont has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. Our watches have a 24-month warranty for your peace of mind, in conjunction with any remaining manufacturer’s warranty from new or from service.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Hublot/Classic%20Fusion/525.NX.3270.LR/33506/item/197091,Hublot,Classic Fusion,Classic Fusion,525.NX.3270.LR,GBP,9250.00,9250.00,Retail Price: Discontinued," Black 
","
Year
 2016
","
Box
Yes
","

Papers


Yes
","
Product code
197091
","

Movement


Automatic
","
Case size
45 MM
","
Case material
Steel
","
Bracelet material
Rubber - Black 
","
Dial type
Skeleton Black Dial
","
Water resistance
50 metres
","This Hublot has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Vacheron%20Constantin/Overseas/42042/423A-8874/35493/item/213982,Vacheron Constantin,Overseas,Overseas,42042/423A-8874,GBP,14950.00,14950.00,Retail Price: Discontinued,,"
Year
Approx.  2016
","
Box
Yes
","

Papers


No
","
Product code
213982
","

Movement


Automatic
","
Case size
37 MM
","
Case material
Steel
","
Bracelet material
Steel
","
Dial type
Blue Baton
","
Water resistance
100 metres
","This Vacheron Constantin has undergone a thorough inspection of accuracy, functionality and condition at our Vacheron Constantin certified service centre to determine the level of reconditioning required to meet our strict standards. It has also been checked against our records to ensure authenticity. Our watches have a 24-month warranty for your peace of mind, in conjunction with any remaining manufacturer’s warranty from new or from service.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Maurice%20Lacroix/Masterpiece/MP7158-SS001-301/36196/item/218257,Maurice Lacroix,Masterpiece,Masterpiece,MP7158-SS001-301,GBP,5250.00,5250.00,Retail Price: Discontinued," Black
","
Year
 2019
","
Box
Yes
","

Papers


Yes
","
Product code
218257
","

Movement


Automatic
","
Case size
43 MM
","
Case material
Steel
","
Bracelet material
Alligator - Black
","
Dial type
Black Baton
","
Water resistance
50 metres
","This Maurice Lacroix has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Panerai/Luminor%201950/PAM00213/38532/item/214057,Panerai,Luminor 1950,Luminor 1950,PAM00213,GBP,6150.00,6150.00,Retail Price: Discontinued," Black 
","
Year
Approx.  2018
","
Box
No
","

Papers


No
","
Product code
214057
","

Movement


Automatic
","
Case size
44 MM
","
Case material
Steel
","
Bracelet material
Rubber - Black 
","
Dial type
Black Baton
","
Water resistance
100 metres
","
                            This masterful Luminor 1950 from Panerai features a “double” or “split seconds” chronograph (also known as a rattrapante), one of high-end watchmaking's most challenging mechanical complications to manufacture. Where a regular chronograph simply records time elapsed between pushing the start and stop buttons, a split seconds chrono allows you to time laps or intermediate intervals. There are in fact two seconds hands, one of them ingeniously hidden; an extra pusher at 8 o'clock stops the first hand, recording the initial time, while the other hand continues to run. The PAM 213 uses the OP XVIII movement, based on a stunning and unusual column wheel Valjoux 7750.
                            
", ,2022-o5-08,RefurbishedCondition
http://www.watchfinder.co.uk/Chopard/Mille%20Miglia/168589-3009/39090/item/218250,Chopard,Mille Miglia,Mille Miglia,168589-3009,GBP,4500.00,4500.00,"Retail Price: £5,110"," Black 
","
Year
 2018
","
Box
Yes
","

Papers


Yes
","
Product code
218250
","

Movement


Automatic
","
Case size
42 MM
","
Case material
Steel
","
Bracelet material
Leather - Black 
","
Dial type
Green Arabic
","
Water resistance
50 metres
","This Chopard has undergone a thorough inspection of water resistance, accuracy, functionality and condition to determine the level of reconditioning required to meet our strict standards. It has also been referenced against technical documents and manufacturer records where available to ensure authenticity and a clean history. All our watches have a 24-month warranty for your peace of mind.", ,2022-o5-08,RefurbishedCondition
